Fecha,Mercado,Producto,Precio
2004-12-30,B.Blanca,Girasol,173.11
2005-01-03,B.Blanca,Girasol,170.15
2005-01-04,B.Blanca,Girasol,168.8
2005-01-05,B.Blanca,Girasol,164.98
2005-01-07,B.Blanca,Girasol,163.3
2005-01-10,B.Blanca,Girasol,163.41
2005-01-11,B.Blanca,Girasol,163.8
2005-01-12,B.Blanca,Girasol,164.69
2005-01-13,B.Blanca,Girasol,165.25
2005-01-14,B.Blanca,Girasol,165.08
2005-01-17,B.Blanca,Girasol,163.82
2005-01-18,B.Blanca,Girasol,163.43
2005-01-19,B.Blanca,Girasol,163.1
2005-01-20,B.Blanca,Girasol,162.99
2005-01-21,B.Blanca,Girasol,163.1
2005-01-24,B.Blanca,Girasol,163.65
2005-01-25,B.Blanca,Girasol,165.98
2005-01-26,B.Blanca,Girasol,164.27
2005-01-27,B.Blanca,Girasol,164.05
2005-01-28,B.Blanca,Girasol,163.99
2005-01-31,B.Blanca,Girasol,162.45
2005-02-01,B.Blanca,Girasol,162.39
2005-02-02,B.Blanca,Girasol,162.39
2005-02-04,B.Blanca,Girasol,162.67
2005-02-07,B.Blanca,Girasol,162.73
2005-02-08,B.Blanca,Girasol,163.01
2005-02-09,B.Blanca,Girasol,163.29
2005-02-10,B.Blanca,Girasol,163.01
2005-02-11,B.Blanca,Girasol,163.17
2005-02-14,B.Blanca,Girasol,163.17
2005-02-15,B.Blanca,Girasol,163.57
2005-02-16,B.Blanca,Girasol,163.1
2005-02-17,B.Blanca,Girasol,162.48
2005-02-18,B.Blanca,Girasol,161.81
2005-02-21,B.Blanca,Girasol,162.03
2005-02-22,B.Blanca,Girasol,163.19
2005-02-23,B.Blanca,Girasol,165.25
2005-02-24,B.Blanca,Girasol,165.19
2005-02-25,B.Blanca,Girasol,165.08
2005-02-28,B.Blanca,Girasol,166.78
2005-03-01,B.Blanca,Girasol,166.21
2005-03-02,B.Blanca,Girasol,165.71
2005-03-03,B.Blanca,Girasol,165.99
2005-03-04,B.Blanca,Girasol,166.84
2005-03-07,B.Blanca,Girasol,167.24
2005-03-08,B.Blanca,Girasol,167.18
2005-03-09,B.Blanca,Girasol,167.12
2005-03-10,B.Blanca,Girasol,169.45
2005-03-11,B.Blanca,Girasol,169.69
2005-03-14,B.Blanca,Girasol,171.23
2005-03-15,B.Blanca,Girasol,173.0
2005-03-16,B.Blanca,Girasol,174.66
2005-03-17,B.Blanca,Girasol,176.49
2005-03-18,B.Blanca,Girasol,176.55
2005-03-21,B.Blanca,Girasol,176.55
