"Fecha";"Mercado";"Producto";"Precio"
"30-12-24";"B.Blanca";"Girasol";"U$S 329.04"
"17-03-25";"B.Blanca";"Girasol";"U$S 319.1"
"18-03-25";"B.Blanca";"Girasol";"U$S 319.1"
"14-04-25";"B.Blanca";"Girasol";"U$S 297.75"
"29-04-25";"B.Blanca";"Girasol";"U$S 297.68"
"07-05-25";"B.Blanca";"Girasol";"U$S 297.6"
"12-05-25";"B.Blanca";"Girasol";"U$S 297.61"
"19-06-25";"B.Blanca";"Girasol";"U$S 300"
"23-06-25";"B.Blanca";"Girasol";"U$S 297.69"
"24-06-25";"B.Blanca";"Girasol";"U$S 297.7"
"25-06-25";"B.Blanca";"Girasol";"U$S 297.73"
"26-06-25";"B.Blanca";"Girasol";"U$S 297.73"
"27-06-25";"B.Blanca";"Girasol";"U$S 297.73"
"30-06-25";"B.Blanca";"Girasol";"U$S 297.76"
"01-07-25";"B.Blanca";"Girasol";"U$S 297.79"
"02-07-25";"B.Blanca";"Girasol";"U$S 297.8"
"03-07-25";"B.Blanca";"Girasol";"U$S 297.81"
"04-07-25";"B.Blanca";"Girasol";"U$S 297.82"
"08-07-25";"B.Blanca";"Girasol";"U$S 300.24"
"10-07-25";"B.Blanca";"Girasol";"U$S 297.85"
"11-07-25";"B.Blanca";"Girasol";"U$S 297.86"
"14-07-25";"B.Blanca";"Girasol";"U$S 297.89"
"16-07-25";"B.Blanca";"Girasol";"U$S 297.86"
"17-07-25";"B.Blanca";"Girasol";"U$S 297.88"
"18-07-25";"B.Blanca";"Girasol";"U$S 297.9"
"21-07-25";"B.Blanca";"Girasol";"U$S 297.88"
"22-07-25";"B.Blanca";"Girasol";"U$S 297.85"
"23-07-25";"B.Blanca";"Girasol";"U$S 297.74"
"24-07-25";"B.Blanca";"Girasol";"U$S 297.88"
"30-12-24";"B.Blanca";"Maiz";"U$S 187.02"
"02-01-25";"B.Blanca";"Maiz";"U$S 188.86"
"03-01-25";"B.Blanca";"Maiz";"U$S 188.31"
"07-01-25";"B.Blanca";"Maiz";"U$S 188.22"
"08-01-25";"B.Blanca";"Maiz";"U$S 191.03"
"10-01-25";"B.Blanca";"Maiz";"U$S 192.4"
"13-01-25";"B.Blanca";"Maiz";"U$S 197.12"
"14-01-25";"B.Blanca";"Maiz";"U$S 197.89"
"15-01-25";"B.Blanca";"Maiz";"U$S 197.7"
"16-01-25";"B.Blanca";"Maiz";"U$S 196.74"
"17-01-25";"B.Blanca";"Maiz";"U$S 196.36"
"20-01-25";"B.Blanca";"Maiz";"U$S 197.8"
"21-01-25";"B.Blanca";"Maiz";"U$S 200.57"
"22-01-25";"B.Blanca";"Maiz";"U$S 200.38"
"23-01-25";"B.Blanca";"Maiz";"U$S 200.29"
"29-01-25";"B.Blanca";"Maiz";"U$S 209.22"
"30-01-25";"B.Blanca";"Maiz";"U$S 209.13"
"03-02-25";"B.Blanca";"Maiz";"U$S 208.68"
"04-02-25";"B.Blanca";"Maiz";"U$S 213.42"
"05-02-25";"B.Blanca";"Maiz";"U$S 213.37"
"06-02-25";"B.Blanca";"Maiz";"U$S 213.32"
"10-02-25";"B.Blanca";"Maiz";"U$S 208.23"
"11-02-25";"B.Blanca";"Maiz";"U$S 208.23"
"12-02-25";"B.Blanca";"Maiz";"U$S 208.19"
"14-02-25";"B.Blanca";"Maiz";"U$S 212.62"
"17-02-25";"B.Blanca";"Maiz";"U$S 212.41"
"18-02-25";"B.Blanca";"Maiz";"U$S 210.58"
"19-02-25";"B.Blanca";"Maiz";"U$S 209.58"
"20-02-25";"B.Blanca";"Maiz";"U$S 212.31"
"21-02-25";"B.Blanca";"Maiz";"U$S 212.11"
"24-02-25";"B.Blanca";"Maiz";"U$S 202.64"
"25-02-25";"B.Blanca";"Maiz";"U$S 202.54"
"26-02-25";"B.Blanca";"Maiz";"U$S 207.21"
"04-03-25";"B.Blanca";"Maiz";"U$S 206.62"
"05-03-25";"B.Blanca";"Maiz";"U$S 206.72"
"17-03-25";"B.Blanca";"Maiz";"U$S 201.22"
"18-03-25";"B.Blanca";"Maiz";"U$S 201.12"
"29-04-25";"B.Blanca";"Maiz";"U$S 197.42"
"07-05-25";"B.Blanca";"Maiz";"U$S 183.52"
"12-05-25";"B.Blanca";"Maiz";"U$S 182.54"
"03-06-25";"B.Blanca";"Maiz";"U$S 176.65"
"06-06-25";"B.Blanca";"Maiz";"U$S 173.67"
"09-06-25";"B.Blanca";"Maiz";"U$S 171.69"
"10-06-25";"B.Blanca";"Maiz";"U$S 172.49"
"11-06-25";"B.Blanca";"Maiz";"U$S 174.11"
"12-06-25";"B.Blanca";"Maiz";"U$S 173.67"
"13-06-25";"B.Blanca";"Maiz";"U$S 173.67"
"18-06-25";"B.Blanca";"Maiz";"U$S 170.65"
"23-06-25";"B.Blanca";"Maiz";"U$S 168.69"
"24-06-25";"B.Blanca";"Maiz";"U$S 170.68"
"25-06-25";"B.Blanca";"Maiz";"U$S 171.69"
"26-06-25";"B.Blanca";"Maiz";"U$S 171.69"
"27-06-25";"B.Blanca";"Maiz";"U$S 168.71"
"30-06-25";"B.Blanca";"Maiz";"U$S 168.73"
"02-07-25";"B.Blanca";"Maiz";"U$S 171.73"
"03-07-25";"B.Blanca";"Maiz";"U$S 171.74"
"04-07-25";"B.Blanca";"Maiz";"U$S 171.74"
"08-07-25";"B.Blanca";"Maiz";"U$S 170.14"
"10-07-25";"B.Blanca";"Maiz";"U$S 168.78"
"14-07-25";"B.Blanca";"Maiz";"U$S 168.8"
"15-07-25";"B.Blanca";"Maiz";"U$S 170.28"
"16-07-25";"B.Blanca";"Maiz";"U$S 173.75"
"17-07-25";"B.Blanca";"Maiz";"U$S 173.76"
"18-07-25";"B.Blanca";"Maiz";"U$S 173.78"
"21-07-25";"B.Blanca";"Maiz";"U$S 171.78"
"22-07-25";"B.Blanca";"Maiz";"U$S 173.75"
"23-07-25";"B.Blanca";"Maiz";"U$S 171.69"
"24-07-25";"B.Blanca";"Maiz";"U$S 173.76"
"03-06-25";"B.Blanca";"Soja";"U$S 262.99"
"06-06-25";"B.Blanca";"Soja";"U$S 267.95"
"09-06-25";"B.Blanca";"Soja";"U$S 272.91"
"11-06-25";"B.Blanca";"Soja";"U$S 273.6"
"17-06-25";"B.Blanca";"Soja";"U$S 277.83"
"18-06-25";"B.Blanca";"Soja";"U$S 277.79"
"24-06-25";"B.Blanca";"Soja";"U$S 272.89"
"25-06-25";"B.Blanca";"Soja";"U$S 267.96"
"26-06-25";"B.Blanca";"Soja";"U$S 267.96"
"07-07-25";"B.Blanca";"Soja";"U$S 297.86"
"14-07-25";"B.Blanca";"Soja";"U$S 257.81"
"16-07-25";"B.Blanca";"Soja";"U$S 261.7"
"17-07-25";"B.Blanca";"Soja";"U$S 260.6"
"18-07-25";"B.Blanca";"Soja";"U$S 263.61"
"21-07-25";"B.Blanca";"Soja";"U$S 262.75"
"22-07-25";"B.Blanca";"Soja";"U$S 266.61"
"23-07-25";"B.Blanca";"Soja";"U$S 270.16"
"30-12-24";"B.Blanca";"Trigo";"U$S 190.89"
"02-01-25";"B.Blanca";"Trigo";"U$S 190.8"
"03-01-25";"B.Blanca";"Trigo";"U$S 189.28"
"06-01-25";"B.Blanca";"Trigo";"U$S 188.31"
"07-01-25";"B.Blanca";"Trigo";"U$S 188.22"
"08-01-25";"B.Blanca";"Trigo";"U$S 188.13"
"10-01-25";"B.Blanca";"Trigo";"U$S 187.59"
"13-01-25";"B.Blanca";"Trigo";"U$S 187.5"
"14-01-25";"B.Blanca";"Trigo";"U$S 187.32"
"15-01-25";"B.Blanca";"Trigo";"U$S 187.14"
"16-01-25";"B.Blanca";"Trigo";"U$S 188.1"
"17-01-25";"B.Blanca";"Trigo";"U$S 187.74"
"20-01-25";"B.Blanca";"Trigo";"U$S 188.25"
"21-01-25";"B.Blanca";"Trigo";"U$S 189.11"
"22-01-25";"B.Blanca";"Trigo";"U$S 190.84"
"23-01-25";"B.Blanca";"Trigo";"U$S 190.75"
"28-01-25";"B.Blanca";"Trigo";"U$S 195.05"
"29-01-25";"B.Blanca";"Trigo";"U$S 199.71"
"30-01-25";"B.Blanca";"Trigo";"U$S 201.52"
"31-01-25";"B.Blanca";"Trigo";"U$S 201.23"
"03-02-25";"B.Blanca";"Trigo";"U$S 201.09"
"04-02-25";"B.Blanca";"Trigo";"U$S 202.99"
"05-02-25";"B.Blanca";"Trigo";"U$S 202.94"
"06-02-25";"B.Blanca";"Trigo";"U$S 208.58"
"07-02-25";"B.Blanca";"Trigo";"U$S 208.38"
"10-02-25";"B.Blanca";"Trigo";"U$S 208.23"
"11-02-25";"B.Blanca";"Trigo";"U$S 208.23"
"12-02-25";"B.Blanca";"Trigo";"U$S 208.19"
"13-02-25";"B.Blanca";"Trigo";"U$S 210.82"
"14-02-25";"B.Blanca";"Trigo";"U$S 212.62"
"17-02-25";"B.Blanca";"Trigo";"U$S 212.41"
"18-02-25";"B.Blanca";"Trigo";"U$S 212.46"
"19-02-25";"B.Blanca";"Trigo";"U$S 212.41"
"20-02-25";"B.Blanca";"Trigo";"U$S 217.03"
"21-02-25";"B.Blanca";"Trigo";"U$S 216.83"
"24-02-25";"B.Blanca";"Trigo";"U$S 216.78"
"25-02-25";"B.Blanca";"Trigo";"U$S 216.67"
"26-02-25";"B.Blanca";"Trigo";"U$S 214.74"
"27-02-25";"B.Blanca";"Trigo";"U$S 211.81"
"04-03-25";"B.Blanca";"Trigo";"U$S 211.32"
"05-03-25";"B.Blanca";"Trigo";"U$S 211.42"
"17-03-25";"B.Blanca";"Trigo";"U$S 210.58"
"18-03-25";"B.Blanca";"Trigo";"U$S 210.48"
"29-04-25";"B.Blanca";"Trigo";"U$S 202.42"
"07-05-25";"B.Blanca";"Trigo";"U$S 195.42"
"12-05-25";"B.Blanca";"Trigo";"U$S 195.43"
"03-06-25";"B.Blanca";"Trigo";"U$S 198.48"
"06-06-25";"B.Blanca";"Trigo";"U$S 198.48"
"09-06-25";"B.Blanca";"Trigo";"U$S 198.48"
"10-06-25";"B.Blanca";"Trigo";"U$S 164.91"
"11-06-25";"B.Blanca";"Trigo";"U$S 198.82"
"12-06-25";"B.Blanca";"Trigo";"U$S 198.48"
"13-06-25";"B.Blanca";"Trigo";"U$S 198.48"
"17-06-25";"B.Blanca";"Trigo";"U$S 198.45"
"18-06-25";"B.Blanca";"Trigo";"U$S 198.42"
"19-06-25";"B.Blanca";"Trigo";"U$S 200"
"23-06-25";"B.Blanca";"Trigo";"U$S 198.46"
"24-06-25";"B.Blanca";"Trigo";"U$S 198.47"
"25-06-25";"B.Blanca";"Trigo";"U$S 198.49"
"26-06-25";"B.Blanca";"Trigo";"U$S 198.49"
"27-06-25";"B.Blanca";"Trigo";"U$S 198.49"
"30-06-25";"B.Blanca";"Trigo";"U$S 198.51"
"01-07-25";"B.Blanca";"Trigo";"U$S 198.53"
"02-07-25";"B.Blanca";"Trigo";"U$S 198.54"
"03-07-25";"B.Blanca";"Trigo";"U$S 198.54"
"04-07-25";"B.Blanca";"Trigo";"U$S 198.55"
"07-07-25";"B.Blanca";"Trigo";"U$S 196.59"
"08-07-25";"B.Blanca";"Trigo";"U$S 200.16"
"10-07-25";"B.Blanca";"Trigo";"U$S 198.57"
"11-07-25";"B.Blanca";"Trigo";"U$S 198.57"
"14-07-25";"B.Blanca";"Trigo";"U$S 198.59"
"15-07-25";"B.Blanca";"Trigo";"U$S 198.57"
"16-07-25";"B.Blanca";"Trigo";"U$S 198.57"
"17-07-25";"B.Blanca";"Trigo";"U$S 198.59"
"18-07-25";"B.Blanca";"Trigo";"U$S 198.6"
"21-07-25";"B.Blanca";"Trigo";"U$S 198.59"
"22-07-25";"B.Blanca";"Trigo";"U$S 200.55"
"23-07-25";"B.Blanca";"Trigo";"U$S 199.48"
"24-07-25";"B.Blanca";"Trigo";"U$S 200.57"
"24-02-25";"Buenos Aires";"Trigo art. 12";"U$S 218.52"
"25-02-25";"Buenos Aires";"Trigo art. 12";"U$S 214.79"
"03-01-25";"Córdoba";"Trigo";"U$S 190.3"
"06-01-25";"Córdoba";"Trigo";"U$S 1857.17"
"07-01-25";"Córdoba";"Trigo";"U$S 187.76"
"08-01-25";"Córdoba";"Trigo";"U$S 186.2"
"10-01-25";"Córdoba";"Trigo";"U$S 186.63"
"15-01-25";"Córdoba";"Trigo";"U$S 187.91"
"16-01-25";"Córdoba";"Trigo";"U$S 188.1"
